Comment,Designator,Footprint,LCSC
GZ2012D601TF,"FB1,FB2",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C1017
10u,"C5,C6",C_0805_2012Metric,C15850
MMBT3904,Q1,SOT-23,C20526
220n,"C1,C2,C3,C4",C_0603_1608Metric,C21120
green,"D1,D2,D4",LED_0805_2012Metric,C2297
3k3,"R11,R15,R5,R8",R_0603_1608Metric,C22978
22,"R1,R2,R3,R4,R6,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25092
10k,"R10,R12,R13,R7",R_0603_1608Metric,C25804
EL814,U2,SMDIP-4_W9.53mm,C32565
~,U7,USB A male SMD,C386752
ADUM4160,U1,SOIC-16W_7.5x10.3mm_P1.27mm,C57791
LMV321,U4,SOT-23-5_HandSoldering,C7972
ZMM5V6-M,D3,D_MiniMELF,C8062
SRV05-4,"U5,U6",SOT-23-6,C85364
Conn_01x02,J3,PinHeader_1x03_P2.54mm_Vertical,
USB_A,J1,USB_A_Molex_67643_Horizontal,
~,U3,SIP7_DCDC single,
Fiducial,FID2,KiCad-Logo_5mm_SilkScreen,
Fiducial,FID1,OSHW-Logo2_9.8x8mm_SilkScreen,
Conn_01x02,J2,PinHeader_1x03_P2.54mm_Vertical,
